Home,Road,line,vscore,hscore,week,actual
Boston College,Florida St.,-5.5,3,35,10,32
Clemson,Georgia Tech,14,10,24,10,14
Coastal Carolina,Texas St.,10,27,7,10,-20
Colorado,California,4,28,44,10,16
Colorado St.,Air Force,10,45,28,10,-17
Connecticut,Missouri,-14,52,12,10,-40
Florida,Georgia,-13.5,42,7,10,-35
Fresno St.,UNLV,21.5,26,16,10,-10
Georgia St.,South Alabama,0,13,21,10,8
Hawaii,San Diego St.,-9.5,28,7,10,-21
Idaho,Louisiana-Monroe,2.5,23,31,10,8
Illinois,Wisconsin,-27,24,10,10,-14
Iowa,Minnesota,7,10,17,10,7
Iowa St.,TCU,-7,7,14,10,7
Kansas,Kansas St.,-24.5,30,20,10,-10
Kentucky,Tennessee,3.5,26,29,10,3
Marshall,Florida Intl.,17,41,30,10,-11
Maryland,Indiana,-6,39,42,10,3
Massachusetts,Appalachian St.,-4,27,30,10,3
Memphis,Tulane,11,26,56,10,30
Michigan,Rutgers,22.5,14,35,10,21
Mississippi,Arkansas,2.5,38,37,10,-1
New Mexico St.,Arkansas St.,-3,37,21,10,-16
North Carolina,Miami (Fla.),-20.5,24,19,10,-5
North Texas,Old Dominion,11.5,38,45,10,7
Northern Ill.,Eastern Mich.,7,27,30,10,3
Northwestern,Michigan St.,-3,31,39,10,8
Notre Dame,NC St.,6.5,14,35,10,21
Ohio St.,Penn St.,7,38,39,10,1
Oklahoma,Texas Tech,20.5,27,49,10,22
Oregon,Utah,-3,20,41,10,21
Oregon St.,Stanford,-21,15,14,10,-1
Pittsburgh,Virginia,1.5,14,31,10,17
Purdue,Nebraska,5,25,24,10,-1
Rice,Louisiana Tech,-13,42,28,10,-14
SMU,Tulsa,9.5,34,38,10,4
South Carolina,Vanderbilt,7,27,34,10,7
South Florida,Houston,10.5,28,24,10,-4
Southern Miss.,UAB,12.5,30,12,10,-18
Texas A&M,Mississippi St.,-3,35,14,10,-21
Troy St.,Georgia Southern,25,16,38,10,22
UTEP,Texas-San Antonio,-15,31,14,10,-17
Utah St.,Boise St.,-9.5,41,14,10,-27
Virginia Tech,Duke,17,3,24,10,21
Wake Forest,Louisville,-1.5,32,42,10,10
Washington,UCLA,17.5,23,44,10,21
West Va.,Oklahoma St.,-7.5,50,39,10,-11
Western Kentucky,Florida Atlantic,-6.5,42,28,10,-14
Wyoming,New Mexico,-1.5,3,42,10,39
Air Force,Army,6,21,0,11,-21
Alabama,LSU,21,10,24,11,14
Arizona St.,Colorado,4,30,41,11,11
Arkansas,Coastal Carolina,23.5,38,39,11,1
Boise St.,Nevada,20,14,41,11,27
California,Oregon St.,7,23,37,11,14
Connecticut,South Florida,-23.5,37,20,11,-17
Eastern Mich.,Ball St.,24,14,56,11,42
Florida Atlantic,Marshall,6.5,25,30,11,5
Florida Intl.,Texas-San Antonio,-7,7,14,11,7
Florida St.,Syracuse,7,24,27,11,3
Fresno St.,BYU,10,13,20,11,7
Georgia,South Carolina,23.5,10,24,11,14
Georgia Southern,Georgia St.,-4,21,17,11,-4
